PREFACE	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
1K	CARD
that	PRO.Dem.Subst.-.Nom.Sg.Neut
I	FM
will	FM
venture	FM
to	FM
affirm	ADJD.Pos
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
thofe	VFIN.Full.3.Sg.Pres.Subj
,	SYM.Pun.Comma
who	FM
never	FM
had	FM
the	FM
leaft	VFIN.Full.3.Sg.Pres.Ind
acquaintance	FM
with	FM
Latin	N.Name.Dat.Sg.*
,	SYM.Pun.Comma
may	FM
,	SYM.Pun.Comma
by	FM
the	FM
proper	ADJD.Pos
uſe	FM
of	FM
this	FM
Grammar	N.Name.Nom.Sg.*
,	SYM.Pun.Comma
become	FM
at	FM
once	FM
capable	FM
of	FM
writing	FM
Engliſhr	FM
with	FM
correctneſs	FM
,	SYM.Pun.Comma
elegance	FM
,	SYM.Pun.Comma
and	FM
preciſion	N.Reg.Nom.Pl.Fem
.	SYM.Pun.Sent
here	ADJA.Pos.Nom.Sg.Neut
is	FM
ſtill	N.Reg.Nom.Sg.Neut
another	ADJA.Pos.Gen.Sg.Fem
obſection	N.Reg.Gen.Sg.Fem
,	SYM.Pun.Comma
which	VFIN.Full.3.Sg.Past.Ind
ſome	N.Reg.*.Sg.Fem
are	FM
too	ADV
apt	FM
to	FM
make	FM
,	SYM.Pun.Comma
and	FM
with	FM
which	VFIN.Full.3.Sg.Past.Ind
they	FM
endeavour	FM
to	FM
palliate	FM
their	FM
own	FM
indolence	FM
;	SYM.Pun.Sent
this	FM
is	FM
no	PRO.Indef.Attr.-.Nom.*.*
other	N.Name.*.*.*
than	VPP.Full.Psp
that	PRO.Dem.Subst.-.Nom.Sg.Neut
Engliſp	FM
may	FM
be	FM
very	ADV
well	ADV
learned	FM
without	FM
any	FM
Grammar	N.Name.Nom.Sg.*
whatſoever	N.Reg.Nom.Sg.Masc
;	SYM.Pun.Sent
but	CONJ.Coord.-
in	APPR.In
this	FM
they	FM
moſt	FM
certainly	FM
are	FM
decewed	FM
,	SYM.Pun.Comma
for	FM
though	FM
it	FM
is	FM
poflible	FM
a	FM
young	FM
gentleman	VPP.Full.Psp
or	FM
lady	FM
may	FM
ſpeak	FM
with	FM
tolerable	ADJA.Pos.Acc.Pl.Fem
propriety	FM
upon	FM
ſome	FM
particular	FM
fubjects	FM
,	SYM.Pun.Comma
yet	FM
when	FM
they	FM
come	PROADV.Inter
to	FM
write	FM
,	SYM.Pun.Comma
even	FM
though	FM
it	FM
be	FM
but	CONJ.Coord.-
a	FM
letter	FM
,	SYM.Pun.Comma
their	FM
deficiency	FM
will	FM
ſoon	N.Reg.Nom.Pl.Fem
appear	FM
,	SYM.Pun.Comma
and	FM
with	FM
this	FM
aggravating	FM
circumſtance	FM
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
their	FM
name	FM
is	FM
generally	FM
ſigned	FM
to	FM
that	PRO.Dem.Subst.-.Nom.Sg.Neut
which	ADJD.Pos
lerves	FM
as	ADV
a	FM
teſtimony	FM
of	FM
their	FM
defect	FM
.	SYM.Pun.Sent
We	FM
acknowledge	FM
,	SYM.Pun.Comma
indeed	FM
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
if	FM
they	FM
purlom	FM
from	FM
printed	FM
letters	FM
,	SYM.Pun.Comma
they	FM
may	FM
flourifh	FM
at	FM
a	FM
cheap	FM
expence	FM
,	SYM.Pun.Comma
but	CONJ.Coord.-
not	ADJD.Pos
a	FM
volume	FM
of	FM
theſe	FM
can	VFIN.Mod.*.*.Pres.Ind
anſwer	FM
all	FM
the	FM
ordinary	FM
occurrences	FM
of	FM
life	FM
.	SYM.Pun.Sent
To	FM
ſuch	FM
young	FM
gentlemen	FM
or	FM
ladies	FM
,	SYM.Pun.Comma
therefore	FM
,	SYM.Pun.Comma
as	ADV
deſire	ADJA.Pos.Acc.Pl.*
to	FM
write	FM
with	FM
correctneſs	FM
,	SYM.Pun.Comma
and	FM
at	FM
the	FM
ſame	FM
time	VFIN.Full.3.Sg.Pres.Subj
decline	FM
the	FM
intricacies	FM
of	FM
a	FM
learned	FM
education	FM
,	SYM.Pun.Comma
a	FM
work	FM
of	FM
this	FM
kind	FM
muſt	FM
be	FM
abſolutely	FM
requiſite	N.Reg.Acc.Pl.Neut
,	SYM.Pun.Comma
and	FM
I	FM
have	VFIN.Aux.1.Sg.Pres.Ind
accordingly	FM
endeavoured	FM
to	FM
make	FM
every	FM
part	FM
of	FM
it	FM
obvious	FM
to	FM
the	FM
meaneſt	FM
capacity	FM
.	SYM.Pun.Sent
Either	N.Name.Nom.Sg.Masc
Foreigners	N.Name.Gen.Sg.Masc
,	SYM.Pun.Comma
or	FM
the	FM
Fair	ADJD.Pos
Sex	N.Reg.Nom.Sg.Masc
of	FM
our	FM
own	FM
nation	FM
,	SYM.Pun.Comma

