PREFACE	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
XVII	CARD
Eſop's	N.Reg.Acc.Pl.Masc
fables	FM
,	SYM.Pun.Comma
both	FM
in	FM
profe	FM
and	FM
verſe	FM
,	SYM.Pun.Comma
will	FM
allo	FM
be	FM
a	FM
proper	ADJD.Pos
inſtructor	FM
;	SYM.Pun.Sent
and	FM
as	ADV
they	FM
advance	FM
,	SYM.Pun.Comma
books	FM
of	FM
a	FM
higher	N.Name.*.*.*
ſtrain	N.Name.*.*.*
,	SYM.Pun.Comma
and	N.Name.*.*.*
a	N.Name.*.*.*
more	N.Name.*.*.*
ſpeculative	N.Reg.*.*.*
turn	VIMP.Full.2.Sg
,	SYM.Pun.Comma
may	FM
be	FM
put	FM
into	N.Name.*.*.*
their	FM
hands	FM
with	FM
ſafety	FM
,	SYM.Pun.Comma
fuch	FM
as	ADV
the	FM
Spectators	FM
,	SYM.Pun.Comma
Tatlers	N.Name.Gen.Sg.*
,	SYM.Pun.Comma
Guardians	N.Name.Gen.Sg.Neut
,	SYM.Pun.Comma
the	N.Name.*.*.*
Rambler	N.Name.*.*.*
,	SYM.Pun.Comma
Idler	N.Name.Nom.Sg.*
,	SYM.Pun.Comma
and	N.Name.*.*.*
Adventurer	N.Name.Nom.Sg.*
,	SYM.Pun.Comma
and	FM
a	FM
few	FM
other	N.Name.*.*.*
periodical	FM
pieces	FM
of	FM
a	FM
later	FM
date	FM
;	SYM.Pun.Sent
theſe	FM
,	SYM.Pun.Comma
with	FM
perhaps	FM
the	FM
works	FM
of	FM
our	FM
great	FM
poet	FM
Mr	FM
.	SYM.Pun.Sent
Pope	N.Reg.Nom.Sg.Masc
,	SYM.Pun.Comma
will	FM
open	FM
their	FM
minds	FM
to	FM
all	FM
the	FM
beauties	FM
of	FM
our	FM
admirable	ADJA.Pos.Acc.Pl.Fem
language	FM
,	SYM.Pun.Comma
and	FM
ſhew	FM
at	FM
once	FM
both	FM
its	FM
ſtrength	FM
and	FM
concifeneſs	FM
.	SYM.Pun.Sent
From	FM
this	FM
ſtage	N.Reg.Nom.Sg.Masc
of	FM
education	FM
,	SYM.Pun.Comma
the	FM
ſcholar	FM
may	FM
next	ADJA.Pos.Acc.Sg.*
proceed	FM
to	FM
hiftory	FM
,	SYM.Pun.Comma
in	APPR.In
which	ADJD.Pos
extenſive	ADJA.Pos.Dat.Sg.Neut
field	N.Reg.Dat.Sg.Neut
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
of	FM
his	FM
own	FM
nation	FM
ought	FM
certainly	FM
to	FM
be	FM
preferred	FM
.	SYM.Pun.Sent
Every	FM
Engliſbman	N.Reg.Nom.Pl.Fem
,	SYM.Pun.Comma
how	PROADV.Inter
deſtitute	ADJA.Pos.Nom.Sg.Masc
ſoever	N.Reg.Nom.Sg.Masc
of	N.Name.*.*.*
other	N.Name.*.*.*
riches	ADJA.Pos.Acc.Sg.Neut
,	SYM.Pun.Comma
has	FM
one	ADJA.Pos.Acc.Sg.Fem
ineſtimable	N.Name.Acc.Sg.Fem
treaſure	N.Name.Acc.Sg.Fem
,	SYM.Pun.Comma
his	FM
country	FM
;	SYM.Pun.Sent
witl	FM
.	SYM.Pun.Sent
that	PRO.Dem.Subst.-.Nom.Sg.Neut
treafure	FM
,	SYM.Pun.Comma
and	FM
all	FM
its	FM
advantages	ADJA.Pos.Acc.Sg.Neut
,	SYM.Pun.Comma
it	FM
ſhould	FM
be	FM
at	FM
once	FM
his	FM
pleafure	FM
and	FM
his	FM
boaft	VFIN.Full.3.Sg.Pres.Ind
to	FM
be	FM
thoroughly	FM
acquaited	FM
.	SYM.Pun.Sent
Nor	FM
ſhould	FM
the	FM
pupils	FM
delivery	FM
or	FM
manner	FM
of	FM
reading	FM
be	FM
omitted	FM
among	FM
the	FM
reſt	FM
of	FM
his	FM
inſtitutions	FM
;	SYM.Pun.Sent
for	FM
this	FM
purpofe	FM
,	SYM.Pun.Comma
perhaps	FM
,	SYM.Pun.Comma
thoſe	FM
works	FM
which	VIMP.Full.2.Sg
we	PRO.Pers.Subst.1.Nom.Pl.*
have	VIMP.Aux.2.Sg
in	APPR.In
blank	ADJD.Pos
verſe	ADJA.Pos.Acc.Pl.*
are	FM
extremely	FM
proper	ADJD.Pos
,	SYM.Pun.Comma
and	FM
a	FM
portion	FM
from	FM
one	FM
of	FM
thefe	FM
fhould	FM
every	FM
day	N.Reg.Nom.Sg.Masc
be	FM
firſt	FM
read	FM
by	FM
the	FM
maſter	FM
,	SYM.Pun.Comma
with	FM
the	FM
proper	ADJD.Pos
pauſes	FM
and	FM
juſt	FM
emphaſis	FM
,	SYM.Pun.Comma
and	FM
then	FM
the	FM
ſcholar	FM
ſhould	FM
endeavouto	FM
imitate	FM
him	FM
,	SYM.Pun.Comma
as	ADV
far	ADJD.Pos
as	ADV
his	FM
abilities	FM
will	FM
permit	FM
.	SYM.Pun.Sent
When	N.Name.Nom.Sg.Masc
he	FM
is	FM
at	FM
aloſs	FM
for	FM
the	FM
ian3	FM
151	CARD

