PREFACE	N.Name.Nom.Sg.Neut
.	SYM.Pun.Sent
XIX	CARD
is	FM
furely	FM
an	APPR.An
object	FM
of	FM
contempt	FM
or	FM
furprize	FM
,	SYM.Pun.Comma
to	FM
ſee	FM
them	ADJA.Pos.Dat.Sg.Neut
neglecting	FM
their	FM
own	FM
language	FM
,	SYM.Pun.Comma
as	ADV
not	ADJD.Pos
worth	FM
cultivation	FM
,	SYM.Pun.Comma
when	FM
the	FM
judicious	FM
Spaniards	FM
have	VFIN.Aux.1.Sg.Pres.Ind
made	FM
a	FM
dictionary	FM
of	FM
theirs	FM
,	SYM.Pun.Comma
containing	FM
ſix	FM
volumes	FM
in	FM
folio	FM
;	SYM.Pun.Sent
when	FM
the	FM
French	N.Name.Nom.Sg.Masc
have	VFIN.Aux.2.Sg.Pres.Ind
made	FM
it	FM
a	FM
national	ADJD.Pos
concern	VINF.Full.-
to	FM
ſpread	FM
theis	FM
among	FM
all	FM
the	FM
courts	FM
of	FM
Europe	N.Name.*.*.*
,	SYM.Pun.Comma
and	FM
have	VFIN.Aux.1.Sg.Pres.Ind
taken	FM
this	FM
as	ADV
one	FM
of	FM
their	FM
routs	FM
to	FM
unverfal	FM
empire	FM
.	SYM.Pun.Sent
This	FM
neglect	FM
I	FM
have	VFIN.Aux.1.Sg.Pres.Ind
among	FM
others	FM
attempted	FM
to	FM
obviate	FM
.	SYM.Pun.Sent
“	FM
Tongues	FM
,	SYM.Pun.Comma
6	CARD
40	CARD
6	CARD
6	CARD
.	SYM.Pun.Sent
(	SYM.Paren.Left
fays	FM
the	FM
ingenious	FM
Mr	FM
.	SYM.Pun.Sent
Jobnſon	N.Reg.Nom.Pl.Fem
)	SYM.Paren.Right
like	FM
governments	FM
,	SYM.Pun.Comma
have	VFIN.Aux.1.Sg.Pres.Ind
a	FM
natural	FM
tendency	FM
to	FM
degeneration	FM
.	SYM.Pun.Sent
We	FM
have	VFIN.Aux.1.Sg.Pres.Ind
long	FM
preferved	FM
our	FM
conſtitution	N.Reg.Acc.Pl.Fem
,	SYM.Pun.Comma
let	FM
us	FM
make	FM
ſome	FM
ſtruggles	FM
for	FM
our	FM
language	FM
.	SYM.Pun.Sent
“	FM
A	FM
noble	ADJA.Pos.Nom.Sg.Masc
refolution	FM
this	FM
,	SYM.Pun.Comma
and	FM
whatever	FM
may	FM
be	FM
my	FM
ſtrength	FM
,	SYM.Pun.Comma
vet	FM
as	ADV
the	FM
ſame	FM
ardour	FM
,	SYM.Pun.Comma
which	VFIN.Full.3.Sg.Past.Ind
excited	FM
him	FM
,	SYM.Pun.Comma
inlpires	ADJA.Pos.Nom.Sg.Neut
me	FM
,	SYM.Pun.Comma
I	FM
offer	FM
myfelf	FM
a	FM
champion	FM
in	APPR.In
the	FM
ſame	FM
glorious	FM
caufe	VFIN.Full.3.Sg.Pres.Subj
;	SYM.Pun.Sent
though	FM
perhaps	FM
with	FM
much	ADV
inferior	ADJD.Pos
abilities	VFIN.Full.3.Sg.Past.Ind
,	SYM.Pun.Comma
yet	FM
being	FM
furnifhed	FM
and	FM
affiſted	FM
by	FM
others	FM
Works	FM
,	SYM.Pun.Comma
there	FM
is	FM
a	FM
poflibility	FM
of	FM
making	FM
Engliſb	FM
Grammar	N.Name.Nom.Sg.Masc
more	FM
complete	FM
than	VPP.Full.Psp
they	FM
have	VFIN.Aux.2.Sg.Pres.Ind
left	VPP.Full.Psp
it	FM
.	SYM.Pun.Sent
They	N.Name.Nom.Sg.*
have	VFIN.Aux.2.Sg.Pres.Ind
,	SYM.Pun.Comma
it	FM
muſt	FM
be	FM
granted	FM
.	SYM.Pun.Sent
amafied	FM
from	FM
a	FM
variety	FM
of	FM
ſtores	FM
the	FM
materials	FM
for	FM
completig	ADJD.Pos
the	FM
edifice	FM
,	SYM.Pun.Comma
by	FM
coming	FM
after	FM
them	ADJA.Pos.Dat.Sg.Neut
,	SYM.Pun.Comma
perhaps	FM
,	SYM.Pun.Comma
it	FM
has	FM
been	FM
my	FM
fortune	FM
to	FM
give	FM
the	FM
materals	FM
the	FM
moft	VFIN.Full.3.Sg.Pres.Ind
artful	FM
arrangement	FM
.	SYM.Pun.Sent
Mr	FM
.	SYM.Pun.Sent
Greenwood	FM
,	SYM.Pun.Comma
upon	FM
this	FM
fubject	FM
obferves	FM
,	SYM.Pun.Comma
that	PRO.Dem.Subst.-.Nom.Sg.Neut
no	PART.Ans
ſuch	FM
thing	FM
as	ADV
a	FM
complete	FM
Grammar	N.Name.Nom.Sg.Masc
was	FM
to	FM
be	FM
expected	FM
from	FM
any	FM
one	ADJA.Pos.Acc.Pl.Fem
perſon	N.Reg.Acc.Pl.Fem
,	SYM.Pun.Comma
and	FM
indeed	FM
his	FM
own	N.Name.Nom.Sg.Masc
Grammar	N.Name.Nom.Sg.Masc
,	SYM.Pun.Comma
which	N.Name.Nom.Sg.Masc
though	FM
perhaps	FM
one	FM
of	FM
the	FM
beſt	FM
hitherto	FM
extant	FM
,	SYM.Pun.Comma
is	FM
certamly	FM
no	PART.Ans
contradiction	FM
to	FM
the	FM
truth	FM
of	FM
his	FM
general	ADJD.Pos

